BB vs LIMP 13BB
Hand,AI,RAISE,CHECK
AhQh,25,75,0
AhKh,0,100,0
Ah2s,100,0,0
Ah3s,100,0,0
Ah4s,100,0,0
Ah5s,100,0,0
Ah6s,100,0,0
Ah7s,100,0,0
Ah8s,100,0,0
Ah9s,100,0,0
AhTs,100,0,0
AhJs,100,0,0
AhQs,100,0,0
AhKs,100,0,0
2s2c,100,0,0
2s2d,100,0,0
2s2h,100,0,0
3s2c,0,25,75
3s3c,100,0,0
3s2d,0,25,75
3s3d,100,0,0
3s2h,0,25,75
3s3h,100,0,0
3s2s,0,0,100
4s2c,0,0,100
4s3c,0,25,75
4s4c,100,0,0
4s2d,0,0,100
4s3d,0,25,75
4s4d,100,0,0
4s2h,0,0,100
4s3h,0,25,75
4s4h,100,0,0
4s2s,0,0,100
4s3s,0,0,100
5s2c,0,25,75
5s3c,0,0,100
5s4c,0,25,75
5s5c,100,0,0
5s2d,0,25,75
5s3d,0,0,100
5s4d,0,25,75
5s5d,100,0,0
5s2h,0,25,75
5s3h,0,0,100
5s4h,0,25,75
5s5h,100,0,0
5s2s,0,0,100
5s3s,0,0,100
5s4s,75,0,25
6s2c,0,0,100
6s3c,0,25,75
6s4c,0,0,100
6s5c,0,0,100
6s6c,75,25,0
6s2d,0,0,100
6s3d,0,25,75
6s4d,0,0,100
6s5d,0,0,100
6s6d,75,25,0
6s2h,0,0,100
6s3h,0,25,75
6s4h,0,0,100
6s5h,0,0,100
6s6h,75,25,0
6s2s,0,0,100
6s3s,50,0,50
6s4s,75,0,25
6s5s,100,0,0
7s2c,0,0,100
7s3c,0,25,75
7s4c,0,25,75
7s5c,25,0,75
7s6c,50,0,50
7s7c,25,75,0
7s2d,0,0,100
7s3d,0,25,75
7s4d,0,25,75
7s5d,25,0,75
7s6d,50,0,50
7s7d,25,75,0
7s2h,0,0,100
7s3h,0,25,75
7s4h,0,25,75
7s5h,25,0,75
7s6h,50,0,50
7s7h,25,75,0
7s2s,0,0,100
7s3s,0,0,100
7s4s,0,0,100
7s5s,75,0,25
7s6s,100,0,0
8s2c,0,0,100
8s3c,0,0,100
8s4c,0,25,75
8s5c,0,25,75
8s6c,0,25,75
8s7c,25,0,75
8s8c,0,100,0
8s2d,0,0,100
8s3d,0,0,100
8s4d,0,25,75
8s5d,0,25,75
8s6d,0,25,75
