BB vs OR 22BB
Hand,3BAI,3BNAI,CALL,FOLD
Ad8c,100,0,0,0
Ad9c,100,0,0,0
AdTc,100,0,0,0
AdJc,100,0,0,0
AdQc,100,0,0,0
AdKc,100,0,0,0
AdAc,0,100,0,0
Ad2d,0,0,100,0
Ad3d,25,0,75,0
Ad4d,0,0,100,0
Ad5d,25,0,75,0
Ad6d,0,0,100,0
Ad7d,0,0,100,0
Ad8d,25,50,25,0
Ad9d,50,50,0,0
AdTd,0,100,0,0
AdJd,25,75,0,0
AdQd,0,100,0,0
AdKd,0,100,0,0
Ad2h,50,25,25,0
Ad3h,75,0,25,0
Ad4h,75,0,25,0
Ad5h,50,0,50,0
Ad6h,50,25,25,0
Ad7h,75,25,0,0
Ad8h,100,0,0,0
Ad9h,100,0,0,0
AdTh,100,0,0,0
AdJh,100,0,0,0
AdQh,100,0,0,0
AdKh,100,0,0,0
Ad2s,50,25,25,0
Ad3s,75,0,25,0
Ad4s,75,0,25,0
Ad5s,50,0,50,0
Ad6s,50,25,25,0
Ad7s,75,25,0,0
Ad8s,100,0,0,0
Ad9s,100,0,0,0
AdTs,100,0,0,0
AdJs,100,0,0,0
AdQs,100,0,0,0
AdKs,100,0,0,0
2h2c,100,0,0,0
2h2d,100,0,0,0
3h2c,0,0,0,100
3h3c,100,0,0,0
3h2d,0,0,0,100
3h3d,100,0,0,0
3h2h,0,0,100,0
3h2s,0,0,0,100
4h2c,0,0,0,100
4h3c,0,0,25,75
4h4c,100,0,0,0
4h2d,0,0,0,100
4h3d,0,0,25,75
4h4d,100,0,0,0
4h2h,0,0,100,0
4h3h,0,0,100,0
4h2s,0,0,0,100
4h3s,0,0,25,75
5h2c,0,0,0,100
5h3c,0,0,100,0
5h4c,0,25,75,0
5h5c,100,0,0,0
5h2d,0,0,0,100
5h3d,0,0,100,0
5h4d,0,25,75,0
5h5d,100,0,0,0
5h2h,0,0,100,0
5h3h,0,0,100,0
5h4h,0,25,75,0
5h2s,0,0,0,100
5h3s,0,0,100,0
5h4s,0,25,75,0
6h2c,0,0,0,100
6h3c,0,0,0,100
6h4c,0,0,100,0
6h5c,0,0,100,0
6h6c,100,0,0,0
6h2d,0,0,0,100
6h3d,0,0,0,100
6h4d,0,0,100,0
6h5d,0,0,100,0
6h6d,100,0,0,0
6h2h,0,0,100,0
6h3h,0,0,100,0
6h4h,0,0,100,0
6h5h,65.2173913,21.7391304,13.0434783,0
6h2s,0,0,0,100
6h3s,0,0,0,100
6h4s,0,0,100,0
6h5s,0,0,100,0
7h2c,0,0,0,100
7h3c,0,0,0,100
7h4c,0,0,0,100
7h5c,0,0,100,0
7h6c,25,0,75,0
7h7c,100,0,0,0
7h2d,0,0,0,100
7h3d,0,0,0,100
7h4d,0,0,0,100
7h5d,0,0,100,0
7h6d,25,0,75,0
7h7d,100,0,0,0
7h2h,0,0,100,0
7h3h,0,0,100,0
7h4h,0,0,100,0
7h5h,0,0,100,0
7h6h,43.4782609,43.4782609,13.0434783,0
7h2s,0,0,0,100
7h3s,0,0,0,100
7h4s,0,0,0,100
7h5s,0,0,100,0
7h6s,25,0,75,0
8h2c,0,0,0,100
8h3c,0,0,0,100
8h4c,0,0,0,100
8h5c,0,0,75,25
8h6c,0,0,100,0
8h7c,0,0,100,0
8h8c,75,25,0,0
8h2d,0,0,0,100
8h3d,0,0,0,100
8h4d,0,0,0,100
8h5d,0,0,75,25
8h6d,0,0,100,0
8h7d,0,0,100,0
8h8d,75,25,0,0
8h2h,0,0,100,0
8h3h,0,0,100,0
8h4h,0,0,100,0
8h5h,0,0,100,0
8h6h,75,0,25,0
8h7h,65.2173913,21.7391304,13.0434783,0
8h2s,0,0,0,100
8h3s,0,0,0,100
8h4s,0,0,0,100
8h5s,0,0,75,25
8h6s,0,0,100,0
8h7s,0,0,100,0
9h2c,0,0,0,100
9h3c,0,0,0,100
9h4c,0,0,0,100
9h5c,0,0,0,100
9h6c,0,0,100,0
9h7c,0,0,100,0
9h8c,0,0,100,0
9h9c,75,25,0,0
9h2d,0,0,0,100
9h3d,0,0,0,100
9h4d,0,0,0,100
9h5d,0,0,0,100
9h6d,0,0,100,0
9h7d,0,0,100,0
9h8d,0,0,100,0
9h9d,75,25,0,0
9h2h,0,0,100,0
9h3h,0,0,100,0
9h4h,0,0,100,0
9h5h,0,0,100,0
9h6h,25,0,75,0
9h7h,75,0,25,0
9h8h,0,50,50,0
9h2s,0,0,0,100
9h3s,0,0,0,100
9h4s,0,0,0,100
9h5s,0,0,0,100
9h6s,0,0,100,0
9h7s,0,0,100,0
9h8s,0,0,100,0
Th2c,0,0,0,100
Th3c,0,0,0,100
Th4c,0,0,0,100
Th5c,0,0,0,100
Th6c,0,0,100,0
Th7c,0,25,75,0
Th8c,0,0,100,0
Th9c,0,0,100,0
ThTc,0,100,0,0
Th2d,0,0,0,100
Th3d,0,0,0,100
Th4d,0,0,0,100
Th5d,0,0,0,100
Th6d,0,0,100,0
Th7d,0,25,75,0
Th8d,0,0,100,0
Th9d,0,0,100,0
ThTd,0,100,0,0
Th2h,0,0,100,0
Th3h,0,0,100,0
Th4h,0,0,100,0
